Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-04 00:00:00+02:00,19.81999969482422,19.975000381469727,19.520000457763672,19.860000610351562,357334,0.0,0.0
2024-04-05 00:00:00+02:00,19.549999237060547,19.815000534057617,19.1200008392334,19.815000534057617,496791,0.0,0.0
2024-04-08 00:00:00+02:00,19.84000015258789,20.700000762939453,19.825000762939453,20.700000762939453,863889,0.0,0.0
2024-04-09 00:00:00+02:00,20.700000762939453,21.280000686645508,20.530000686645508,21.049999237060547,436129,0.0,0.0
2024-04-10 00:00:00+02:00,20.969999313354492,21.1299991607666,20.600000381469727,20.8799991607666,366901,0.0,0.0
2024-04-11 00:00:00+02:00,20.860000610351562,21.25,20.549999237060547,20.579999923706055,497630,0.0,0.0
2024-04-12 00:00:00+02:00,20.770000457763672,21.329999923706055,20.489999771118164,20.489999771118164,373016,0.0,0.0
2024-04-15 00:00:00+02:00,20.420000076293945,20.649999618530273,20.329999923706055,20.389999389648438,288139,0.0,0.0
2024-04-16 00:00:00+02:00,20.280000686645508,20.389999389648438,19.520000457763672,20.270000457763672,321456,0.0,0.0
2024-04-17 00:00:00+02:00,20.209999084472656,21.329999923706055,20.170000076293945,21.170000076293945,396429,0.0,0.0
2024-04-18 00:00:00+02:00,21.170000076293945,21.489999771118164,21.020000457763672,21.110000610351562,424498,0.0,0.0
2024-04-19 00:00:00+02:00,20.93000030517578,21.360000610351562,20.81999969482422,21.059999465942383,418651,0.0,0.0
2024-04-22 00:00:00+02:00,21.18000030517578,21.959999084472656,21.18000030517578,21.729999542236328,404443,0.0,0.0
2024-04-23 00:00:00+02:00,21.850000381469727,22.030000686645508,21.690000534057617,21.799999237060547,335725,0.0,0.0
2024-04-24 00:00:00+02:00,21.850000381469727,21.899999618530273,21.59000015258789,21.68000030517578,377265,0.0,0.0
2024-04-25 00:00:00+02:00,21.610000610351562,21.850000381469727,21.350000381469727,21.719999313354492,316688,0.0,0.0
2024-04-26 00:00:00+02:00,21.75,22.0,21.510000228881836,21.81999969482422,443229,0.0,0.0
2024-04-29 00:00:00+02:00,21.899999618530273,22.229999542236328,21.649999618530273,22.1200008392334,411472,0.0,0.0
2024-04-30 00:00:00+02:00,22.110000610351562,22.3700008392334,22.0,22.170000076293945,562857,0.0,0.0
2024-05-02 00:00:00+02:00,22.100000381469727,22.450000762939453,22.059999465942383,22.209999084472656,371493,0.0,0.0
2024-05-03 00:00:00+02:00,22.309999465942383,22.56999969482422,21.899999618530273,21.969999313354492,260599,0.0,0.0
2024-05-06 00:00:00+02:00,22.079999923706055,22.219999313354492,21.540000915527344,21.639999389648438,195751,0.0,0.0
2024-05-07 00:00:00+02:00,22.670000076293945,23.200000762939453,22.360000610351562,22.450000762939453,546509,0.0,0.0
